"sample","fastq_1","fastq_2","strandedness"
"WT_T0w_REP1","SLX-21013.D710rna_D501rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D501rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T0w_REP2","SLX-21013.D710rna_D502rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D502rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T0w_REP3","SLX-21013.D710rna_D503rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D503rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T0w_REP1","SLX-21013.D710rna_D504rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D504rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T0w_REP2","SLX-21013.D710rna_D505rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D505rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T0w_REP3","SLX-21013.D710rna_D506rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D506rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T2w_REP1","SLX-21013.D710rna_D507rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D507rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T2w_REP2","SLX-21013.D710rna_D508rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D710rna_D508rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T2w_REP3","SLX-21013.D711rna_D501rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D501rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T2w_REP1","SLX-21013.D711rna_D502rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D502rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T2w_REP2","SLX-21013.D711rna_D503rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D503rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T2w_REP3","SLX-21013.D711rna_D504rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D504rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T4w_REP1","SLX-21013.D711rna_D505rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D505rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T4w_REP2","SLX-21013.D711rna_D506rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D506rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T4w_REP3","SLX-21013.D711rna_D507rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D507rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T4w_REP1","SLX-21013.D711rna_D508rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D711rna_D508rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T4w_REP2","SLX-21013.D712rna_D501rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D501rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T4w_REP3","SLX-21013.D712rna_D502rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D502rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T7w_REP1","SLX-21013.D712rna_D503rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D503rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T7w_REP2","SLX-21013.D712rna_D504rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D504rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"WT_T7w_REP3","SLX-21013.D712rna_D505rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D505rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T7w_REP1","SLX-21013.D712rna_D506rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D506rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T7w_REP2","SLX-21013.D712rna_D507rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D507rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
"KO_T7w_REP3","SLX-21013.D712rna_D508rna.HMHHWDRXY.s_1.r_1.fq.gz","SLX-21013.D712rna_D508rna.HMHHWDRXY.s_1.r_2.fq.gz","reverse"
